circuit,map,type,direction,city,country,last_length_used,turns,grand_prix,seasons,grand_prix_held,location_track,region
Autodromo Nazionale di Monza,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Monza_track_map.svg/150px-Monza_track_map.svg.png,Race circuit,Clockwise,Monza,Italy,5.793 km (3.600 mi),,Italian Grand Prix,"1950–1979, 1981–2023",73,"[45.6191059, 9.282641]",EU
Autódromo Oscar y Juan Gálvez,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Aut%C3%B3dromo_Oscar_y_Juan_G%C3%A1lvez_Circuito_N%C2%B0_6_por_Senna.svg/150px-Aut%C3%B3dromo_Oscar_y_Juan_G%C3%A1lvez_Circuito_N%C2%B0_6_por_Senna.svg.png,Race circuit,Clockwise,Buenos Aires,Argentina,4.259 km (2.646 mi),,Argentine Grand Prix,"1953–1958, 1960, 1972–1975, 1977–1981, 1995–1998",20,"[-34.68977015, -58.4525248583]",SA
AVUS,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Circuit_AVUS.svg/150px-Circuit_AVUS.svg.png,Road circuit,Anti-clockwise,Berlin,Germany,8.300 km (5.157 mi),,German Grand Prix,1959,1,"[52.4802398, 13.2494362]",EU
Bahrain International Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Bahrain_International_Circuit--Grand_Prix_Layout.svg/150px-Bahrain_International_Circuit--Grand_Prix_Layout.svg.png,Race circuit,Clockwise,Sakhir,Bahrain,5.412 km (3.363 mi),,"Bahrain Grand Prix,Sakhir Grand Prix","2004–2010, 2012–2024",21,"[26.03169845, 50.5145207463]",AS
Baku City Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Baku_Formula_One_circuit_map.svg/150px-Baku_Formula_One_circuit_map.svg.png,Street circuit,Anti-clockwise,Baku,Azerbaijan,6.003 km (3.730 mi),,"European Grand Prix,Azerbaijan Grand Prix","2016–2019, 2021–2023",7,"[40.372926, 49.8529714833]",AS
Brands Hatch Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Brands_Hatch_1976-1987.svg/150px-Brands_Hatch_1976-1987.svg.png,Race circuit,Clockwise,West Kingsdown,United Kingdom,4.206 km (2.613 mi),,"British Grand Prix,European Grand Prix","1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982–1986",14,"[51.3574884, 0.2600065398]",EU
Buddh International Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Buddh_Circuit_1.svg/150px-Buddh_Circuit_1.svg.png,Race circuit,Clockwise,Greater Noida,India,5.141 km (3.194 mi),,Indian Grand Prix,2011–2013,3,"[28.3492531, 77.5370050117]",AS
Bugatti Au Mans,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Circuit_Le_Mans_Bugatti.png/150px-Circuit_Le_Mans_Bugatti.png,Race circuit,Clockwise,Le Mans,France,4.430 km (2.753 mi),,French Grand Prix,1967,1,"[48.0073849, 0.1967849]",EU
Caesars Palace Grand Prix Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Circuit_Caesars_Palace.png/150px-Circuit_Caesars_Palace.png,Street circuit,Anti-clockwise,Paradise,United States,3.650 km (2.268 mi),,Caesars Palace Grand Prix,1981–1982,2,"[36.1011223, -115.1479329]",NA
Charade Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Circuit_Charade_1958_1988.png/150px-Circuit_Charade_1958_1988.png,Road circuit,Clockwise,Saint-Genès-Champanelle,France,8.055 km (5.005 mi),,French Grand Prix,"1965, 1969–1970, 1972",4,"[45.74212925, 3.0313492874]",EU
Circuit Bremgarten,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Circuit_Bremgarten.svg/150px-Circuit_Bremgarten.svg.png,Road circuit,Clockwise,Bern,Switzerland,7.208 km (4.479 mi),,Swiss Grand Prix,1950–1954,5,"[46.9484742, 7.4521749]",EU
Circuit de Barcelona-Catalunya,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Circuit_de_Catalunya_moto_2021.svg/150px-Circuit_de_Catalunya_moto_2021.svg.png,Race circuit,Clockwise,Montmeló,Spain,4.657 km (2.894 mi),,Spanish Grand Prix,1991–2023,33,"[41.56946855, 2.2580631067]",EU
Circuit de Monaco,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Monte_Carlo_Formula_1_track_map.svg/150px-Monte_Carlo_Formula_1_track_map.svg.png,Street circuit,Clockwise,Monte Carlo,Monaco,3.337 km (2.074 mi),19,Monaco Grand Prix,"1950, 1955–2019, 2021–2023",69,"[43.7333427, 7.422458]",EU
Circuit de Nevers Magny-Cours,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Circuit_de_Nevers_Magny-Cours.svg/150px-Circuit_de_Nevers_Magny-Cours.svg.png,Race circuit,Clockwise,Magny-Cours,France,4.411 km (2.741 mi),,French Grand Prix,1991–2008,18,"[46.8637548, 3.1662123213]",EU
Circuit de Pedralbes,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Circuit_Pedralbes.png/150px-Circuit_Pedralbes.png,Street circuit,Clockwise,Barcelona,Spain,6.316 km (3.925 mi),,Spanish Grand Prix,"1951, 1954",2,"[41.3828939, 2.1774322]",EU
Circuit de Reims-Gueux,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Circuit-Reims-1954.png/150px-Circuit-Reims-1954.png,Road circuit,Clockwise,Gueux,France,8.302 km (5.159 mi),,French Grand Prix,"1950–1951, 1953–1954, 1956, 1958–1961, 1963, 1966",11,"[49.25434425, 3.9316542]",EU
Circuit de Spa-Francorchamps,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Spa-Francorchamps_of_Belgium.svg/150px-Spa-Francorchamps_of_Belgium.svg.png,Race circuit,Clockwise,Stavelot,Belgium,7.004 km (4.352 mi),20,Belgian Grand Prix,"1950–1956, 1958, 1960–1968, 1970, 1983, 1985–2002, 2004–2005, 2007–2023",56,"[50.4367166, 5.9700403101]",EU
Circuit Dijon-Prenois,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Dijon-Prenois_Circuit.svg/150px-Dijon-Prenois_Circuit.svg.png,Race circuit,Clockwise,Prenois,France,3.886 km (2.415 mi),,"French Grand Prix,Swiss Grand Prix","1974, 1977, 1979, 1981–1982, 1984",6,"[47.3630753, 4.9001595202]",EU
Circuit Gilles-Villeneuve,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/%C3%8Ele_Notre-Dame_%28Circuit_Gilles_Villeneuve%29.svg/150px-%C3%8Ele_Notre-Dame_%28Circuit_Gilles_Villeneuve%29.svg.png,Street circuit,Clockwise,Montreal,Canada,4.361 km (2.710 mi),,Canadian Grand Prix,"1978–1986, 1988–2008, 2010–2019, 2022–2023",42,"[45.5027039, -73.5281036]",NA
Circuit Mont-Tremblant,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Circuit_Mont_Tremblant.png/150px-Circuit_Mont_Tremblant.png,Race circuit,Clockwise,Mont-Tremblant,Canada,4.265 km (2.650 mi),,Canadian Grand Prix,"1968, 1970",2,"[46.18754875, -74.6100802954]",NA
Circuit of the Americas,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Austin_circuit.svg/150px-Austin_circuit.svg.png,Race circuit,Anti-clockwise,Austin,United States,5.513 km (3.426 mi),,United States Grand Prix,"2012–2019, 2021–2023",11,"[30.13563065, -97.6366200236]",NA
Circuit Paul Ricard,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Le_Castellet_circuit_map_Formula_One_2019_and_2021_with_corner_names_English_19_07_2021.svg/150px-Le_Castellet_circuit_map_Formula_One_2019_and_2021_with_corner_names_English_19_07_2021.svg.png,Race circuit,Clockwise,Le Castellet,France,5.842 km (3.630 mi),,French Grand Prix,"1971, 1973, 1975–1976, 1978, 1980, 1982–1983, 1985–1990, 2018–2019, 2021–2022",18,"[43.2524963, 5.7943002028]",EU
Circuit Zandvoort,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Zandvoort_Circuit.png/168px-Zandvoort_Circuit.png,Race circuit,Clockwise,Zandvoort,Netherlands,4.259 km (2.646 mi),,Dutch Grand Prix,"1952–1953, 1955, 1958–1971, 1973–1985, 2021–2023",33,"[52.38809995, 4.5466544809]",EU
Circuit Zolder,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Circuit_Zolder-1975-1985.svg/150px-Circuit_Zolder-1975-1985.svg.png,Race circuit,Clockwise,Heusden-Zolder,Belgium,4.262 km (2.648 mi),,Belgian Grand Prix,"1973, 1975–1982, 1984",10,"[50.99023695, 5.2576656974]",EU
Circuito da Boavista,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Boavista_%28Oporto%29.svg/150px-Boavista_%28Oporto%29.svg.png,Street circuit,Anti-clockwise,Porto,Portugal,7.775 km (4.831 mi),,Portuguese Grand Prix,"1958, 1960",2,"[41.1494512, -8.6107884]",EU
Circuito de Monsanto,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Circuit_Monsanto.png/150px-Circuit_Monsanto.png,Street circuit,Clockwise,Lisbon,Portugal,5.440 km (3.380 mi),,Portuguese Grand Prix,1959,1,"[38.7077507, -9.1365919]",EU
Circuito Permanente de Jerez,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Jerez_Grand_prix_Circuit_1994-2003.svg/150px-Jerez_Grand_prix_Circuit_1994-2003.svg.png,Race circuit,Clockwise,Jerez de la Frontera,Spain,4.428 km (2.751 mi),,"Spanish Grand Prix,European Grand Prix","1986–1990, 1994, 1997",7,"[36.712055, -6.0356669]",EU
Circuito Permanente del Jarama,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuito_Permanente_del_Jarama_1980.svg/150px-Circuito_Permanente_del_Jarama_1980.svg.png,Race circuit,Clockwise,San Sebastián de los Reyes,Spain,3.314 km (2.059 mi),,Spanish Grand Prix,"1968, 1970, 1972, 1974, 1976–1979, 1981",9,"[40.5473698, -3.6260586]",EU
Dallas Fair Park,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Circuit_Fair_Park.svg/150px-Circuit_Fair_Park.svg.png,Street circuit,Anti-clockwise,Dallas,United States,3.901 km (2.424 mi),,Dallas Grand Prix,1984,1,"[32.78197495, -96.7659468628]",NA
Detroit Street Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Downtown_Detroit_Street_Circuit.svg/150px-Downtown_Detroit_Street_Circuit.svg.png,Street circuit,Anti-clockwise,Detroit,United States,4.168 km (2.590 mi),,Detroit Grand Prix,1982–1988,7,"[42.3315509, -83.0466403]",NA
Donington Park,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Donington_as_of_2006.svg/150px-Donington_as_of_2006.svg.png,Race circuit,Clockwise,Castle Donington,United Kingdom,4.020 km (2.498 mi),,European Grand Prix,1993,1,"[52.8283519, -1.3792870344]",EU
Fuji Speedway,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Fuji.svg/150px-Fuji.svg.png,Race circuit,Clockwise,Oyama,Japan,4.563 km (2.835 mi),,Japanese Grand Prix,"1976–1977, 2007–2008",4,"[35.37147535, 138.9316381674]",AS
Hockenheimring,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Hockenheim2012.svg/150px-Hockenheim2012.svg.png,Race circuit,Clockwise,Hockenheim,Germany,4.574 km (2.842 mi),,German Grand Prix,"1970, 1977–1984, 1986–2006, 2008, 2010, 2012, 2014, 2016, 2018–2019",37,"[49.3297989, 8.5762999632]",EU
Hungaroring,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Hungaroring.svg/150px-Hungaroring.svg.png,Race circuit,Clockwise,Mogyoród,Hungary,4.381 km (2.722 mi),,Hungarian Grand Prix,1986–2023,38,"[47.58299565, 19.2517094233]",EU
Indianapolis Motor Speedway,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Indianapolis_Motor_Speedway_-_road_course.svg/150px-Indianapolis_Motor_Speedway_-_road_course.svg.png,Race circuit,Clockwise,Speedway,United States,4.192 km (2.605 mi),,Indianapolis 500,"1950–1960, 2000–2007",19,"[39.79624785, -86.2348160368]",NA
Intercity Istanbul Park,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Istanbul_park.svg/150px-Istanbul_park.svg.png,Race circuit,Anti-clockwise,Istanbul,Turkey,5.338 km (3.317 mi),,Turkish Grand Prix,"2005–2011, 2020–2021",9,"[41.006381, 28.9758715]",AS
Jeddah Corniche Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Jeddah_Street_Circuit_2021.svg/150px-Jeddah_Street_Circuit_2021.svg.png,Street circuit,Anti-clockwise,Jeddah,Saudi Arabia,6.174 km (3.836 mi),,Saudi Arabian Grand Prix,2021–2024,4,"[21.6295495, 39.1056223]",AS
Korea International Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Korea_international_circuit_v3.svg/150px-Korea_international_circuit_v3.svg.png,Race circuit,Anti-clockwise,Yeongam,South Korea,5.615 km (3.489 mi),,Korean Grand Prix,2010–2013,4,"[34.73523385, 126.4146343935]",AS
Kyalami Grand Prix Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Kyalami_1992_Layout.png/150px-Kyalami_1992_Layout.png,Race circuit,Anti-clockwise,Midrand,South Africa,4.261 km (2.648 mi),,South African Grand Prix,"1967–1980, 1982–1985, 1992–1993",20,"[-25.9968828, 28.0704581949]",AF
Las Vegas Strip Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Las_Vegas_Strip_Circuit_2023.png/150px-Las_Vegas_Strip_Circuit_2023.png,Street circuit,Anti-clockwise,Paradise,United States,6.201 km (3.853 mi),17,Las Vegas Grand Prix,2023,1,"[36.1195087, -115.1608899]",NA
Long Beach Street Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Long_Beach_1983.jpg/150px-Long_Beach_1983.jpg,Street circuit,Clockwise,Long Beach,United States,3.275 km (2.035 mi),,United States Grand Prix West,1976–1983,8,"[33.7690164, -118.191604]",NA
Lusail International Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Lusail_International_Circuit_2023.svg/150px-Lusail_International_Circuit_2023.svg.png,Race circuit,Clockwise,Lusail,Qatar,5.419 km (3.367 mi),,Qatar Grand Prix,"2021, 2023",2,"[25.4913075, 51.4518807096]",AS
Marina Bay Street Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Marina_Bay_circuit_2023.svg/150px-Marina_Bay_circuit_2023.svg.png,Street circuit,Anti-clockwise,Marina Bay,Singapore,4.940 km (3.070 mi),,Singapore Grand Prix,"2008–2019, 2022–2023",14,"[1.28906, 103.8612981]",AS
Miami International Autodrome,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Hard_Rock_Stadium_Circuit_2022.svg/150px-Hard_Rock_Stadium_Circuit_2022.svg.png,Street circuit,Anti-clockwise,Miami Gardens,United States,5.412 km (3.363 mi),,Miami Grand Prix,2022–2023,2,"[25.9572609, -80.2411489]",NA
Montjuïc circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Montju%C3%AFc_circuit.svg/150px-Montju%C3%AFc_circuit.svg.png,Street circuit,Anti-clockwise,Barcelona,Spain,3.791 km (2.356 mi),,Spanish Grand Prix,"1969, 1971, 1973, 1975",4,"[41.3662481, 2.1569877]",EU
Mosport International Raceway,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Mosport.svg/150px-Mosport.svg.png,Race circuit,Clockwise,Bowmanville,Canada,3.957 km (2.459 mi),,Canadian Grand Prix,"1967, 1969, 1971–1974, 1976–1977",8,"[44.04848935, -78.6760056868]",NA
Nivelles-Baulers,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Circuit_Nivelles-Baulers.png/150px-Circuit_Nivelles-Baulers.png,Race circuit,Clockwise,Nivelles,Belgium,3.724 km (2.314 mi),,Belgian Grand Prix,"1972, 1974",2,"[50.6172472, 4.358648257]",EU
Nürburgring,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/N%C3%BCrburgring_-_Grand-Prix-Strecke.svg/150px-N%C3%BCrburgring_-_Grand-Prix-Strecke.svg.png,Race circuit,Clockwise,Nürburg,Germany,5.148 km (3.199 mi),15,"German Grand Prix,European Grand Prix,Luxembourg Grand Prix,Eifel Grand Prix","1951–1954, 1956–1958, 1961–1969, 1971–1976, 1984–1985, 1995–2007, 2009, 2011, 2013, 2020",41,"[50.3309196, 6.940674171]",EU
Pescara Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Circuit_Pescara.svg/150px-Circuit_Pescara.svg.png,Road circuit,Clockwise,Pescara,Italy,25.800 km (16.031 mi),,Pescara Grand Prix,1957,1,"[42.3102619, 13.9575901058]",EU
Phoenix Street Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Phoenix_Grand_Prix_Route_-_1991.svg/150px-Phoenix_Grand_Prix_Route_-_1991.svg.png,Street circuit,Anti-clockwise,Phoenix,United States,3.720 km (2.312 mi),,United States Grand Prix,1989–1991,3,"[33.4484367, -112.074141]",NA
Prince George Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Prince_George_Circuit.svg/150px-Prince_George_Circuit.svg.png,Race circuit,Clockwise,East London,South Africa,3.920 km (2.436 mi),,South African Grand Prix,"1962–1963, 1965",3,"[-33.0462938, 27.8809883]",AF
Red Bull Ring,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Spielberg_bare_map_numbers_contextless_2021_corner_names.svg/150px-Spielberg_bare_map_numbers_contextless_2021_corner_names.svg.png,Race circuit,Clockwise,Spielberg,Austria,4.318 km (2.683 mi),,"Austrian Grand Prix,Styrian Grand Prix","1970–1987, 1997–2003, 2014–2023",37,"[47.2221313, 14.7643163575]",EU
Riverside International Raceway,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Riverside_International_Raceway_1967.svg/150px-Riverside_International_Raceway_1967.svg.png,Race circuit,Clockwise,Moreno Valley,United States,5.271 km (3.275 mi),,United States Grand Prix,1960,1,"[33.937517, -117.2305944]",NA
Rouen-Les-Essarts,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Rouen_track_layout_1955-1971.gif/150px-Rouen_track_layout_1955-1971.gif,Road circuit,Clockwise,Orival,France,6.542 km (4.065 mi),,French Grand Prix,"1952, 1957, 1962, 1964, 1968",5,"[49.3407688, 1.0208764]",EU
Scandinavian Raceway,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Scandinavian_Raceway_1978.svg/150px-Scandinavian_Raceway_1978.svg.png,Race circuit,Clockwise,Anderstorp,Sweden,4.031 km (2.505 mi),,Swedish Grand Prix,1973–1978,6,"[57.2638107, 13.6021841571]",EU
Sebring Raceway,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Sebring_International_Raceway_-_Historical_%281952%29.svg/150px-Sebring_International_Raceway_-_Historical_%281952%29.svg.png,Road circuit,Clockwise,Sebring,United States,8.356 km (5.192 mi),,United States Grand Prix,1959,1,"[27.4524657, -81.4205092]",NA
Sepang International Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Sepang.svg/150px-Sepang.svg.png,Race circuit,Clockwise,Sepang,Malaysia,5.543 km (3.444 mi),,Malaysian Grand Prix,1999–2017,19,"[2.76020875, 101.7368657015]",AS
Shanghai International Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Shanghai_International_Racing_Circuit_track_map.svg/150px-Shanghai_International_Racing_Circuit_track_map.svg.png,Race circuit,Clockwise,Shanghai,China,5.451 km (3.387 mi),,Chinese Grand Prix,2004–2019,16,"[31.33997925, 121.2195975921]",AS
Silverstone Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Silverstone_Circuit_vector_map.png/150px-Silverstone_Circuit_vector_map.png,Race circuit,Clockwise,Silverstone,United Kingdom,5.891 km (3.660 mi),,"British Grand Prix,70th Anniversary Grand Prix","1950–1954, 1956, 1958, 1960, 1963, 1965, 1967, 1969, 1971, 1973, 1975, 1977, 1979, 1981, 1983, 1985, 1987–2023",58,"[52.0718116, -1.0142991242]",EU
Sochi Autodrom,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Circuit_Sochi.svg/150px-Circuit_Sochi.svg.png,Race circuit,Clockwise,Sochi,Russia,5.848 km (3.634 mi),,Russian Grand Prix,2014–2021,8,"[43.407318, 39.9530873]",EU
Suzuka International Racing Course,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Suzuka_circuit_map--2005.svg/150px-Suzuka_circuit_map--2005.svg.png,Race circuit,Part clockwise and part anti-clockwise (figure eight),Suzuka,Japan,5.807 km (3.608 mi),,Japanese Grand Prix,"1987–2006, 2009–2019, 2022–2023",33,"[34.8817102, 136.5836516]",AS
TI Circuit Aida,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Circuit_TI_%28Aida%29.png/150px-Circuit_TI_%28Aida%29.png,Race circuit,Clockwise,Mimasaka,Japan,3.703 km (2.301 mi),,Pacific Grand Prix,1994–1995,2,"[35.0085854, 134.1485964]",AS
Valencia Street Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Circuit_Valencia_street.svg/150px-Circuit_Valencia_street.svg.png,Street circuit,Clockwise,Valencia,Spain,5.419 km (3.367 mi),,European Grand Prix,2008–2012,5,"[39.4697065, -0.3763353]",EU
Watkins Glen International,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Watkins_Glen_1975-1983.png/150px-Watkins_Glen_1975-1983.png,Race circuit,Clockwise,Watkins Glen,United States,5.430 km (3.374 mi),,United States Grand Prix,1961–1980,20,"[42.3363805, -76.925048806]",NA
Yas Marina Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Yas_Marina_Circuit.png/150px-Yas_Marina_Circuit.png,Race circuit,Anti-clockwise,Abu Dhabi,United Arab Emirates,5.281 km (3.281 mi),,Abu Dhabi Grand Prix,2009–2023,15,"[24.4718388, 54.6057975075]",AS
Zeltweg Airfield,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Circuit_Zeltweg.png/150px-Circuit_Zeltweg.png,Road circuit,Clockwise,Zeltweg,Austria,3.186 km (1.980 mi),,Austrian Grand Prix,1964,1,"[47.1912045, 14.7549244]",EU
